id;nombre;apellido;cargo;salario;urlmg;estado;establecimiento_id
1;on;a;worth now under;28173.28;unless;OCUPADO;9166
2;like ugh;furlough beard intensely;eek genuine with;14399.84;equally;DISPONIBLE;4648
3;for eek merit;versus;cassava twist;1385.81;an;OCUPADO;16482
4;until;ghost;bookcase guest;16429.54;yahoo late instead;DISPONIBLE;25628
5;descendant;ribbon place beneath;duh hence pish;4914.15;enraged;OCUPADO;27426
6;irritably above;atop overcooked aha;besides by curry;16269.44;pure onto bog;OCUPADO;30048
7;for scarily;in;woot guard woot;13048.64;blah engage sequester;OCUPADO;5638
8;than;gadzooks oily;annually midwife uh-huh;4257.6;likewise instruction;DISPONIBLE;1426
9;selfishly;colorfully after mmm;bump out furlough;16703.58;serene;SUSPENDIDO;23956
10;left gee;pish;provider;5284.35;oddball worthwhile;DISPONIBLE;28147
